code,name,reason,geoname_ids
AUNKB,Noonkanbah,conflicting or missing match,2064598
AUNTE,Northern Endeavour,conflicting or missing match,2071959
AUNUR,Nullarbor,conflicting or missing match,7731351
AUOKB,Orchid Beach,conflicting or missing match,8635839
AUODR,Ord River,conflicting or missing match,8607689
AUOXO,Orientos,conflicting or missing match,8298783
AUORS,Orpheus Island Resort,conflicting or missing match,8299176
AUOSB,Osborne Island,no explicit link,
AUPDE,Pandie Pandie,conflicting or missing match,7731391
AUPRD,Pardoo,conflicting or missing match,7731411
AUPAE,Port Adelaide,conflicting or missing match,2063059;11886621
AUPBY,Port Bonython,conflicting or missing match,2078464;8615497
AUPHJ,Port Hunter,conflicting or missing match,8850986
AUPJK,Port Jackson,no explicit link,
AUPKL,Port Kembla,conflicting or missing match,2152671;11886736
AUPLO,Port Lincoln,conflicting or missing match,2063036;11876723
AUPSY,Port Stanley,no explicit link,
AUPST,Port Stanvac,no explicit link,
AUPWL,Port Walcott,no explicit link,
AUPWR,Port Warrender,no explicit link,
AUPRB,Proper Bay,no explicit link,
AURCM,Richmond,conflicting or missing match,7668764
AUROH,Robinhood,conflicting or missing match,7731466
AURDA,Rockhampton Downs,conflicting or missing match,7731457
AURPB,Roper Bar,conflicting or missing match,8299131
AURSB,Roseberth,conflicting or missing match,7731469
AURBY,Rosebery/Sydney,conflicting or missing match,2151129
AURHL,Roy Hill,conflicting or missing match,8621084
AUHLS,Saint Helens,conflicting or missing match,7668773
AUSVM,Saint Paul's Mission,conflicting or missing match,8299257
AUSMT,Saladin Marine Terminal,no explicit link,
AUSBY,Salisbury/Brisbane,conflicting or missing match,8349401
AUSRM,Sandringham,conflicting or missing match,11550532
AUSWB,Shaw River,conflicting or missing match,7731521
AUSSP,Silver Plains,conflicting or missing match,8298898
AUSKV,Skua Venture (oil terminal),no explicit link,
AUSHU,Smith Point,conflicting or missing match,8531906
AUZGL,South Galway,conflicting or missing match,7731652
AUSPB,Spring Bay,conflicting or missing match,7839670
AUKSV,Springvale,conflicting or missing match,7731193
AUZVG,Springvale,conflicting or missing match,8224808
AUSTG,Stag Platform,no explicit link,
AUSQP,Starcke,no explicit link,
AUSTF,Stephen Island,conflicting or missing match,2101461;8299104
AUSRR,Stradbroke Island,conflicting or missing match,9199815
AUSTH,Strathmore,conflicting or missing match,7731515
AUTBL,Tableland,conflicting or missing match,8260971
AUTXR,Tanbar,conflicting or missing match,8298910
AUTYG,Thylungra,conflicting or missing match,7731568
AUTYP,Tobermorey,conflicting or missing match,7731569
AUTWP,Torwood,conflicting or missing match,7731566
AUTOB,Towford Bay,no explicit link,
AUTRB,Trial Bay,no explicit link,
AUUDA,Undarra,conflicting or missing match,7731577
AUVCD,Victoria River Downs,conflicting or missing match,7731597
AUWLA,Wallal,conflicting or missing match,7731620
AUWLS,Wallis,conflicting or missing match,2151849
AUWNT,Wandoo Terminal,no explicit link,
AUWRW,Warrawagine,conflicting or missing match,7731627
AUWLO,Waterloo,conflicting or missing match,7731622
AUWAN,Waverney,conflicting or missing match,8298988
AUWEP,Westernport,conflicting or missing match,2144001;8194011
AUWIN,Winton,conflicting or missing match,7730281
AUVIT,Wishart,no explicit link,
AUWON,Wondoola,conflicting or missing match,8298892
AUWOG,Woodgreen,conflicting or missing match,8260968
AUWWI,Woodie Woodie,conflicting or missing match,7731631
AUWPK,Wrotham Park,conflicting or missing match,7731625
AUKYI,Yalata Mission,conflicting or missing match,7731203
AUYAM,Yampi,no explicit link,
AUKYB,Yangoonabie,no explicit link,
AUKYF,Yeelirrie,conflicting or missing match,7731202
AZDJU,Djulfa,no explicit link,
BAPJR,Prnjavor,conflicting or missing match,3192321
BDCLA,Cumilla,conflicting or missing match,1185186
BDIRD,Ishurdi,conflicting or missing match,1185207
BDKAM,Kamalapur/Dhaka,conflicting or missing match,1203533
BDMGL,Mongla,conflicting or missing match,1194124;1341778
BEABK,Albertkanaal ports,no explicit link,
BETTJ,Heultje,no explicit link,
BEXXX,RIS Inland waterways,no explicit link,
BGBOJ,Burgas,conflicting or missing match,732770;6699146
BGBYL,Byala,conflicting or missing match,732717
BGGOV,Gorna Oryahovica,no explicit link,
BGOLT,Oltomantsi,no explicit link,
BGXXX,RIS Inland waterways,no explicit link,
BGSWG,Svilengrad,no explicit link,
BGVAR,Varna,conflicting or missing match,726050;11876554
BGZLA,Zlatarevo,conflicting or missing match,725299
BJCOO,Cotonou,conflicting or missing match,2394819;11876775
BJSEM,Seme Terminal,no explicit link,
BNLUM,Lumut,conflicting or missing match,1820422
BSASD,"Andros Town, Andros Island",conflicting or missing match,3572907
BSCCZ,"Chub Cay, Berry Islands",conflicting or missing match,3572652
BSCRI,Crooked Island,conflicting or missing match,8030545
BSELE,Eleuthera Island,conflicting or missing match,3571777
BSFPO,"Freeport, Grand Bahama",conflicting or missing match,3572375
BSGGT,"George Town, Great Exuma Island",conflicting or missing match,6299937
BSGHB,"Governors Harbour, Eleuthera",conflicting or missing match,7730118
BSGBI,Grand Bahama,conflicting or missing match,8030546
BSNMC,Norman's Cay,conflicting or missing match,3571801
BSWZY,Seaplane Base,no explicit link,
BSSRP,South Riding Point,no explicit link,
BSTCB,"Treasure Cay, Great Abaco Island",conflicting or missing match,3571296
BTJOM,Jomotshangkha,no explicit link,
BWTLD,Tuli Lodge,conflicting or missing match,7730496
BZCOL,Colinto,no explicit link,
